title,content,source_name,published_at
Mississippi communities scarred by ICE raids fear future under Trump,"MORTON, Miss. When Brandy Freeman is asked about what happened here five years ago, she stops in her tracks.
""It was horrible,"" Freeman says, her voice trembling as she tears up. Her eyes lose focus… [+9089 chars]",NPR,2024-12-09T10:00:00Z
"Trump picks his lawyer, Todd Blanche, as deputy attorney general","President-elect Donald Trump has nominated former federal prosecutor Todd Blanche as his deputy attorney general. Blanche represented Trump in several of his legal cases. 
He previously worked in th… [+1507 chars]",NPR,2024-11-15T00:03:05Z
How far can Trump go to get his nominees confirmed?,"President-elect Donald Trump is charting a course toward a major confrontation with the Senate over confirming his Cabinet nominees, which could provoke an unprecedented power struggle between the ex… [+10516 chars]",NPR,2024-11-16T10:00:00Z
Trump invites China's Xi to next month's inauguration,"Chinese leader Xi Jinping has been invited to attend President-elect Donald Trump's inauguration next month.
Karoline Leavitt, the incoming White House press secretary, told Fox News on Thursday tha… [+1430 chars]",NPR,2024-12-12T20:38:08Z
Prosecutors file motion to dismiss Jan. 6 case against Trump,"Federal prosecutors have filed a motion to dismiss the Jan. 6 case against Donald Trump.
The move was widely expected. 
Just a day after the election, Jack Smith, the special counsel investigating … [+686 chars]",NPR,2024-11-25T18:24:32Z
Trump nominates Rodney Scott to lead Customs and Border Protection,"Rodney Scott, former chief of the U.S. Border Patrol, is President-elect Donald Trump's choice to lead Customs and Border Protection, the agency entrusted with managing ports of entry and stopping ir… [+2617 chars]",NPR,2024-12-06T05:23:28Z
"Trump-era Justice Department subpoenaed congressional staffers, watchdog finds","The Justice Department's internal watchdog found no evidence of political motivation by federal prosecutors who subpoenaed the communication records of two Democratic members of Congress, congression… [+4390 chars]",NPR,2024-12-10T18:44:23Z
Photos show Donald Trump and Elon Musk's post-election bromance,"President-elect Donald Trump and Tesla CEO Elon Musk have been nearly inseparable since the election, going to social and political events together.Chris Unger/Zuffa LLC
<ul><li>In the two weeks sin… [+3811 chars]",Business Insider,2024-11-19T21:16:04Z
"Meet Jared Isaacman, the billionaire Trump picked to lead NASA","Billionaire Jared Isaacman is leading SpaceX's Polaris Dawn mission.The Washington Post/Getty Images
<ul><li>Jared Isaacman is President-elect Donald Trump's pick to lead NASA.</li><li>Isaacman has … [+7790 chars]",Business Insider,2024-12-05T00:33:33Z
"What the Last Trump Tariffs Did, According to Researchers","President-elect Trump has promised to impose 25% tariffs on all goods imported from Canada and Mexico, and tariffs as high as 60% on goods coming from China on day one of his new administration. What… [+661 chars]",Harvard Business Review,2024-12-02T14:10:00Z
What Will Happen to the Child Tax Credit Under a Trump Administration?,"Plans to expand the child tax credit have become a key talking point among both Democrats and Republicans in Washington, DC, in recent years, and now these proposals are getting a major new spotlight… [+3764 chars]",CNET,2024-11-23T20:00:00Z
What Will a Second Trump Term Mean for Your Money? Experts Weigh In,"The economy was a top concern for voters during the presidential election. According to a September Pew Research poll, the economy outranked health care, foreign policy and crime as a leading issue. … [+6404 chars]",CNET,2024-11-26T11:00:04Z
Mortgage Predictions: Uncertainty over Trump Sent Rates Higher. Here's What's Next,"2024 hasn't been a good year for would-be homebuyers. The only silver lining was that 30-year mortgage rates were expected to drop to 6% by the end of December. In late summer, that forecast felt lik… [+9651 chars]",CNET,2024-11-26T14:44:00Z
2025 Mortgage Predictions: Low Rates Aren't Likely to Return Under Trump,"Before the presidential election, the path to lower mortgage rates seemed relatively clear-cut: As long as official inflation figures continued to go down, the Federal Reserve would carry out more in… [+8464 chars]",CNET,2024-12-06T19:04:00Z
Trump faces a far more emboldened Kim Jong Un this time around,"Donald Trump has long reminisced about the unlikely bromance he formed with North Korean dictator Kim Jong Un while president.
On the campaign trail, he claimed the North Korean leader missed him an… [+5747 chars]",Business Insider,2024-11-28T15:56:16Z
Biden cautions Trump over imposing tariffs on Mexico and Canada: 'I hope he rethinks it',"President Joe Biden on Thursday expressed hope that President-elect Donald Trump would back down on his plan to impose tariffs on two of the US' closest allies.
""I hope he rethinks it, I think it is… [+2134 chars]",Business Insider,2024-11-28T23:35:33Z
"Once Again, Donald Trump Misreads the Senate","This article is part of The D.C. Brief, TIMEs politics newsletter. Sign up here to get stories like this sent to your inbox.
Inside Donald Trumps hermetically sealed bubble of supporters, its become… [+6389 chars]",Time,2024-11-18T21:28:38Z
Some Trump cabinet picks are accused of sexual misconduct. What's it mean for #MeToo?,President-elect Donald Trump's nominee to be Secretary of Defense Pete Hegseth speaks to reporters as he leaves the Russell Senate Office Building. Hegseth is one of Trump's cabinet picks to face acc… [+1120 chars],NPR,2024-11-21T23:57:42Z
Trump names former Georgia congressman Doug Collins as his pick to lead the VA,"Former Rep. Doug Collins of Georgia, a key defender of President-elect Donald Trump during his first impeachment proceedings, has been nominated to be the Secretary for Veterans Affairs.
""Doug is a … [+1556 chars]",NPR,2024-11-15T00:10:06Z
Trump picks business executive Linda McMahon to lead the Education Department,"President-elect Donald Trump announced he will nominate Linda McMahon, a former head of the U.S. Small Business Administration during his first term and a co-chair of histransition team
, to lead th… [+7614 chars]",NPR,2024-11-20T02:52:21Z
"Under Trump, an 'all of the above' energy policy is poised for a comeback","President-elect Donald Trump talks a lot about ""unleashing American energy"" specifically oil, which he likes to call ""liquid gold.""
And based on his nominees for key energy posts, there's every indi… [+7247 chars]",NPR,2024-12-09T10:00:00Z
Trump team signs an agreement with the DOJ for security clearances,"WEST PALM BEACH, Fla. The Trump transition team said it can begin submitting names of officials and nominees for background checks and security clearances after it signed an agreement with the Justic… [+1597 chars]",NPR,2024-12-03T22:40:41Z
Trump names former Sen. David Perdue of Georgia to be ambassador to China,"WASHINGTON President-elect Donald Trump said Thursday he has selected former Sen. David Perdue of Georgia to serve as his ambassador to China, leaning on a former business executive turned politician… [+5467 chars]",NPR,2024-12-06T06:48:49Z
"Trump focuses on tariffs, not retribution, in first network TV interview","President-elect Donald Trump doubled down on levying tariffs in his first days in office, minimizing his prior emphasis on retribution against his perceived enemies, in his first network interview si… [+3731 chars]",NPR,2024-12-08T17:15:09Z
"Foreign students advised to make plans before Trump. And, 2024's final news quiz","Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+5495 chars]",NPR,2024-12-13T13:03:05Z
Trump picks Karoline Leavitt to be youngest White House press secretary in history,President-elect Donald Trump has selected longtime aide and media personality Karoline Leavitt to be his White House press secretary and carry the message of his administration publicly as he returns… [+2268 chars],NPR,2024-11-15T23:57:15Z
"Trump claims he can bring peace to the world. In India, many believe him","CHENNAI, India On the eve of the U.S. presidential election in the southern Indian city of Chennai, one retired professional said he was all in for Donald Trump: ""He's the right man,"" said Bala Raja,… [+4836 chars]",NPR,2024-11-15T19:16:20Z
Scientific American editor resigns after comments about Trump supporters went viral,"Laura Helmuth, the chief editor of Scientific American magazine, announced her resignation on Friday after comments she made disparaging supporters of President-elect Donald Trump gained attention in… [+1926 chars]",NPR,2024-11-15T22:28:08Z
"Trump taps Sean Duffy, Fox host and former Congressman, for Transportation Secretary","WASHINGTON President-elect Trump has chosen Sean Duffy, a Fox News contributor and former GOP Congressman, to head the Department of Transportation
.
In announcing the pick, Trump praised Duffy as … [+3134 chars]",NPR,2024-11-18T23:55:06Z
"With a record number of international students in the U.S., Trump brings uncertainty",The 2023-24 school year saw more international students in the United States than ever before setting a new record largely driven by graduate students and recent graduates in internship-type programs… [+6321 chars],NPR,2024-11-26T20:26:32Z
NATO head and Trump meet in Florida for talks on global security,"BRUSSELS U.S. President-elect Donald Trump and the head of NATO have met for talks on global security, the military alliance said Saturday.
In a brief statement, NATO said Trump and its secretary ge… [+1067 chars]",NPR,2024-11-23T14:03:09Z
"Trump transition says Cabinet picks, appointees were targeted by bomb threats, swatting attacks","NEW YORK A number of President-elect Donald Trump's most prominent Cabinet picks and appointees have been targeted by bomb threats and ""swatting attacks,"" Trump's transition team said Wednesday. The … [+6605 chars]",NPR,2024-11-28T06:45:45Z
One thing Trump and Obama have in common: a fondness for 'czars',"Like it or not, the term ""border czar"" keeps coming up.
Throughout the election cycle, Republicans referred to and criticized Vice President Harris as one, despite the fact that she was never offici… [+8577 chars]",NPR,2024-11-15T10:00:00Z
Trump announces oil executive Chris Wright as his pick for energy secretary,"President-elect Donald Trump said on Saturday he picked oil executive Chris Wright to be the secretary of energy, a role in which he's likely to promote fossil fuel development and reverse many Biden… [+3651 chars]",NPR,2024-11-16T22:47:44Z
Manhattan prosecutors ask for additional pause in Trump hush-money criminal case,Manhattan District Attorney Alvin Bragg on Tuesday asked a judge to pause further proceedings in the criminal trial against President-elect Donald Trump in order to give both sides time to weigh the … [+2882 chars],NPR,2024-11-19T18:45:25Z
Trump picks North Dakota Gov. Doug Burgum to lead the Interior Department,"President-elect Donald Trump said Thursday night that he will nominate North Dakota Gov. Doug Burgum to be secretary of the Department of the Interior.
""He's going to head the Department of Interior… [+3595 chars]",NPR,2024-11-15T02:50:23Z
A Biden green energy investment in Nevada that could appeal to Trump,"DYER, Nevada Along a spine of windy, high desert mountains near the California border, the Rhyolite Ridge lithium deposit feels remote even for Nevada.
Bernard Rowe, who first came to Esmeralda Coun… [+6780 chars]",NPR,2024-11-19T08:00:00Z
"As TIME's 'Person of the Year,' Trump outlines his top priorities in lengthy interview","President-elect Donald Trump is continuing to outline the opening priorities of his second administration, including pardoning some Jan. 6 defendants, enacting mass deportations and undoing executive… [+2163 chars]",NPR,2024-12-12T15:50:36Z
Meet the top 4 candidates Trump is considering for Secretary of the Treasury,"Andrew Harnik/Getty Images
<ul><li>Last week, Trump was said to be deciding between two leading candidates for Treasury Secretary.</li><li>Reports say Trump has been having second thoughts and is ex… [+7210 chars]",Business Insider,2024-11-18T06:50:56Z
"Trump is laying the groundwork for his 'drill, baby, drill' agenda","North Dakota Gov. Doug Burgum, if confirmed as interior secretary, could permit more oil and gas drilling on public lands and waters.Tom Williams/CQ Roll Call
<ul><li>Trump's Cabinet picks for Inter… [+7009 chars]",Business Insider,2024-11-21T12:00:02Z
Trump wants the power to single-handedly choke off government spending. Lawmakers aren't sweating it yet.,"Trump has explicitly pledged to ""challenge"" a 1974 law that prevents him from refusing to spend money approved by Congress.Jeff Bottari/Zuffa LLC via Getty Images
<ul><li>Trump wants the power to re… [+6404 chars]",Business Insider,2024-11-21T15:39:48Z
Trump taps Paul Atkins to lead the SEC in crypto-friendly move,"Trump tapped Paul Atkins to lead the SEC.AP Photo/ Evan Vucci, File
<ul><li>Trump nominated Paul Atkins to lead the Securities and Exchange Commission, a crypto-friendly move.</li><li>Atkins is well… [+1000 chars]",Business Insider,2024-12-04T18:21:27Z
Trump says his presidency won't be a failure if he can't lower grocery prices,"Trump recently signaled openness to raising the federal minimum wage, but that's likely to hit GOP resistance.Jeff Bottari/Zuffa LLC via Getty Images
<ul><li>Trump said in his Person of the Year int… [+2558 chars]",Business Insider,2024-12-12T17:20:14Z
Young people flocked to these 10 rural places before the election. 9 went for Trump.,"Younger Americans went from blue cities to red rural areas but didn't necessarily bring those politics with them.Andrew Lichtenstein/Corbis via Getty Images
<ul><li>In recent years, young Americans … [+4072 chars]",Business Insider,2024-11-21T09:00:02Z
Trump wants to crack down on imports. Businesses are preparing for the worst.,"anucha sirivisansuwan/Getty, Drew Angerer/Getty, Tyler Le/BI
In the days after the election, I caught myself doing some strange Googling. Mostly it was low-grade curiosity about the economic implica… [+9268 chars]",Business Insider,2024-11-24T09:09:02Z
Biden is scrambling to change the war in Ukraine before Trump takes over,"Ukrainian troops install anti-tank mines and other obstacles along the front lines near Chasiv Yar on October 30.Oleg Petrasiuk/Ukrainian 24th Mechanised Brigade via AP
<ul><li>Joe Biden is taking l… [+7092 chars]",Business Insider,2024-11-21T20:50:57Z
Turkey angles for Trump to break the deadlock on F-35 purchases,"Turkey wants to revisit its US ban on acquiring F-35 stealth fighters.William R. Lewis/US Air Force
<ul><li>The US blocked Turkey from acquiring F-35 stealth fighters.</li><li>Turkey wants the F-35s… [+6124 chars]",Business Insider,2024-11-29T09:01:02Z
Donald Trump is clearly trying to shake things up at NASA,"Donald Trump speaks at NASA's Vehicle Assembly Building during his first presidency.Paul Hennessy/SOPA Images/LightRocket via Getty Images
<ul><li>Trump's choice of NASA Administrator suggests he wa… [+5502 chars]",Business Insider,2024-12-06T23:24:42Z
Elon Musk's support for Trump has created a hot Etsy side hustle for this aquarium worker,"Elon Musk donated hundreds of millions of dollars to Donald Trump's reelection campaign.Getty Images
<ul><li>Matthew Hiller sells stickers on Etsy for Tesla owners embarrassed by Elon Musk's politic… [+2294 chars]",Business Insider,2024-12-14T11:03:01Z
"How the US voted in every election, from George Washington to Donald Trump","The United States has had 60 presidential elections, starting in 1789. New parties have come and gone, while new states expanded the electoral map. Maps show us how each state has voted over time — a… [+98 chars]",Business Insider,2024-11-15T15:56:34Z
Democrats are urging Biden to cancel student debt for thousands of borrowers before Trump takes office,"Democratic lawmakers urged President Joe Biden to cancel student debt for defrauded borrowers.Drew Angerer/Getty Images
<ul><li>Democratic lawmakers urged Biden to cancel student debt for defrauded … [+4032 chars]",Business Insider,2024-12-04T19:19:05Z
Here's the role every Trump family member will have — or won't have — in the White House,"Members of the Trump family.Matt Freed/AP
<ul><li>Some Trump family members will serve as unofficial White House advisors in his second term.</li><li>After serving as a senior advisor during Trump's… [+8465 chars]",Business Insider,2024-11-21T19:02:00Z
Can Trump save TikTok? Here's where his cabinet picks stand on a TikTok ban.,"President-elect Donald Trump's stance on a TikTok ban has changed over time, but his cabinet picks have been more resolute.Jaap Arriens/NurPhoto via Getty Images
<ul><li>President-elect Donald Trump… [+3252 chars]",Business Insider,2024-12-08T19:38:31Z
Automakers say they need a 'miracle' to meet EV transition timelines. They think Trump could help.,"Automakers are facing lower-than-expected demand for EVs this year.Shutterstock
<ul><li>Auto execs see an opportunity to roll back state EV mandates under President-elect Donald Trump.</li><li>Nissa… [+5597 chars]",Business Insider,2024-12-06T09:14:01Z
Biden launched a US chipmaking boom. The jobs boost will come under Trump.,"US hiring for semiconductor manufacturing jobs could come during the Trump administration as factories come online.Credit: Walden Kirsch/Intel Corporation
<ul><li>The Biden administration secured co… [+6392 chars]",Business Insider,2024-12-08T09:45:01Z
Anyone can give Donald Trump $1 million. The pros do it in public.,"Tech moguls are lining up to give Donald Trump money — and, crucially, to make sure everyone knows about it.Joe Raedle/Getty Images
<ul><li>It's not new for rich people and big companies to donate t… [+3863 chars]",Business Insider,2024-12-13T18:51:29Z
Trump inviting Xi to his inauguration is an audacious power play,"President Donald Trump and China's President Xi Jinping arrive at a state dinner in Beijing in November 2017.Thomas Peter - Pool/Getty Images
<ul><li>Trump's decision to invite China's Xi Jinping to… [+4439 chars]",Business Insider,2024-12-14T10:00:01Z
China's Xi sets boundaries for Trump with 4 'red lines',"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Yahoo Entertainment,2024-11-18T07:09:34Z
Trump immigration crackdown: Denaturalization just a drop in the bucket,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Yahoo Entertainment,2024-11-22T11:00:00Z
Putin Offers Bizarre Warning to Trump: You’re ‘Not Safe’,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Yahoo Entertainment,2024-11-29T01:54:20Z
Trump to discuss ending childhood vaccination programs with RFK Jr,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Yahoo Entertainment,2024-12-12T17:22:13Z
"Trump, GOP expected to undo Biden’s divisive nursing home rule","If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Yahoo Entertainment,2024-12-11T11:00:00Z
Trump reportedly considering DeSantis as replacement nominee for defense secretary,"TAMPA, Fla. (WFLA) Several reports, including from the Wall Street Journal, have said Governor Ron DeSantis could become President-elect Trumps new defense secretary nominee. The news comes amid a gr… [+1101 chars]",WFLA,2024-12-04T12:43:57Z
Idiot Trump Accidentally Gives Democrats a Massive Boost,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Yahoo Entertainment,2024-11-20T20:26:02Z
Trump: ‘No more Judges confirmed before Inauguration Day!’,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Yahoo Entertainment,2024-11-19T19:20:53Z
Trump Pick Linda McMahon Is Facing Her Own Sex Scandal,"Former WWE CEO Linda McMahon left the spectacle of televised wrestling more than a decade ago, but her new appointment to Donald Trumps administration has brought fresh scrutiny to her time presiding… [+3676 chars]",Daily Beast,2024-11-20T17:18:10Z
Trump taps Brendan Carr to chair Federal Communications Commission,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Yahoo Entertainment,2024-11-18T00:38:10Z
Mexico seeks Trump agreement to avoid receiving non-Mexican deportees,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Yahoo Entertainment,2024-12-05T15:06:16Z
Cheney responds to Trump jail threat: ‘Here’s the truth’,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
F… [+2911 chars]",The Hill,2024-12-09T14:11:06Z
"Trump, Harris teams reflect on 2024: Trump assassination attempt and Biden drops out","Senior staffers from the Trump and Harris campaigns met at Harvard Universitys Campaign Managers Conference on Friday to discuss the summer of 2024, which gave way to an unprecedented political seaso… [+6703 chars]",ABC News,2024-12-07T00:34:29Z
Mexico Threatens Retaliatory Tariffs in Response to Trump,"MEXICO CITY President Claudia Sheinbaum suggested Tuesday that Mexico could retaliate with tariffs of its own, after U.S. President-elect Donald Trump threatened to impose 25% import duties on Mexica… [+4435 chars]",Time,2024-11-27T03:30:00Z
Special Counsel Moves to Dismiss Election Interference Case Against Trump,"WASHINGTON Special counsel Jack Smith asked a federal judge on Monday to dismiss the case accusing President-elect Donald Trump of plotting to overturn the 2020 election, citing longstanding Justice … [+2273 chars]",Time,2024-11-25T18:46:09Z
Why Kash Patel Went All In For Trump,"Kash Patel wasnt always a firebrand. Early in his career, as a federal prosecutor and national security lawyer at the Justice Department, Donald Trumps current pick to head the FBI was thoughtful and… [+4781 chars]",Time,2024-12-05T17:08:11Z
The Opposition to Trump Has Never Been This Deflated,"This article is part of The D.C. Brief, TIMEs politics newsletter. Sign up here to get stories like this sent to your inbox.
Around this time eight years ago, a whole lot of time went into cobbling … [+5248 chars]",Time,2024-11-26T11:00:00Z
An investor says he put 98% of his retirement funds in Trump Media stock and won’t bail because Trump has a ‘secret’ plan,"Trump-supporting retirees have gone all-in on investing in Trump Media, even as the stock has proven to be volatile.
One user, who only goes by @DTLjohnny, said on Trump Media-owned Truth Social he … [+4733 chars]",Yahoo Entertainment,2024-11-23T10:07:00Z
Trump calls for ending daylight saving time,"President-elect Donald Trump said Friday he's in favor of eliminating daylight saving time, calling it ""inconvenient"" and ""very costly"" as his Department of Government Efficiency (DOGE) directors als… [+886 chars]",ABC News,2024-12-13T20:58:52Z
Trump is directing the trade war even before he takes office. Surprise tariffs were just the start.,"Michael B. Thomas/Getty Images; Rebecca Zisser/BI
<ul><li>US President-elect Trump announced sweeping tariffs on Mexico, Canada, China, impacting global markets and currencies.</li><li>Some analysts… [+3681 chars]",Business Insider,2024-11-27T07:48:08Z
Maye Musk talks about Elon and Trump like they're toddlers on a playdate: 'They just seem to be having fun',"Tesla CEO Elon Musk has been spending a lot of time with Donald Trump following his election win.Jeff Bottari/Zuffa LLC
<ul><li>Elon Musk's mother talks about his friendship with Donald Trump like t… [+3088 chars]",Business Insider,2024-11-27T12:12:19Z
Trump picked a Project 2025 coauthor to run the FCC. Here's what it means for Big Tech.,"Trump's pick to lead the FCC, Brendan Carr, wants Big Tech to start contributing to federal funds and to be compelled not to censor content.Andrew Harnik/Getty Images and Celal Gunes/Anadolu via Gett… [+4254 chars]",Business Insider,2024-11-18T10:23:02Z
It looks like Donald Trump will get to fly on his cut-price Air Force One after all,"Donald Trump renegotiated the Next Air Force One deal with Boeing's CEO during his first presidency.Alex Wong/Getty Images
<ul><li>Donald Trump renegotiated a deal with Boeing for a new Air Force On… [+4487 chars]",Business Insider,2024-11-21T13:35:16Z
